AnnoMeseEvento;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;qta_CI_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT;qta_CI_OUT
CHIANTI-FIRENZE;023 Scandicci Charta;202108;15;3;12;20.00
CHIANTI-FIRENZE;023 Scandicci Charta;202109;3;3;0;100.00
CHIANTI-FIRENZE;023 Scandicci Charta;202110;7;1;6;14.29
CHIANTI-FIRENZE;023 Scandicci Charta;202111;10;3;7;30.00
CHIANTI-FIRENZE;023 Scandicci Charta;202112;2;7;-5;350.00
CHIANTI-FIRENZE;023 Scandicci Charta;202201;3;0;3;0.00
CHIANTI-FIRENZE;023 Scandicci Charta;202202;9;6;3;66.67
CHIANTI-FIRENZE;023 Scandicci Charta;202203;14;10;4;71.43
CHIANTI-FIRENZE;023 Scandicci Charta;202204;12;5;7;41.67
CHIANTI-FIRENZE;023 Scandicci Charta;TOTALE;135;76;59;56.30
CHIANTI-FIRENZE;024 Tavarnelle ;202101;6;2;4;33.33
CHIANTI-FIRENZE;024 Tavarnelle ;202102;2;3;-1;150.00
CHIANTI-FIRENZE;024 Tavarnelle ;202103;8;3;5;37.50
CHIANTI-FIRENZE;024 Tavarnelle ;202105;14;1;13;7.14
CHIANTI-FIRENZE;024 Tavarnelle ;202106;0;1;-1;
CHIANTI-FIRENZE;024 Tavarnelle ;202107;5;0;5;0.00
CHIANTI-FIRENZE;024 Tavarnelle ;202108;2;2;0;100.00
CHIANTI-FIRENZE;024 Tavarnelle ;202109;0;2;-2;
CHIANTI-FIRENZE;024 Tavarnelle ;202110;3;3;0;100.00
CHIANTI-FIRENZE;024 Tavarnelle ;202111;4;5;-1;125.00
CHIANTI-FIRENZE;024 Tavarnelle ;202112;1;1;0;100.00
CHIANTI-FIRENZE;024 Tavarnelle ;202201;3;2;1;66.67
CHIANTI-FIRENZE;024 Tavarnelle ;202202;4;2;2;50.00
CHIANTI-FIRENZE;024 Tavarnelle ;202203;6;3;3;50.00
CHIANTI-FIRENZE;024 Tavarnelle ;202204;1;2;-1;200.00
CHIANTI-FIRENZE;024 Tavarnelle ;TOTALE;59;32;27;54.24
CHIANTI-FIRENZE;025 Mercatale ;202101;2;0;2;0.00
CHIANTI-FIRENZE;025 Mercatale ;202102;5;4;1;80.00
CHIANTI-FIRENZE;025 Mercatale ;202103;2;4;-2;200.00
CHIANTI-FIRENZE;025 Mercatale ;202105;7;2;5;28.57
CHIANTI-FIRENZE;025 Mercatale ;202107;2;0;2;0.00
CHIANTI-FIRENZE;025 Mercatale ;202109;2;1;1;50.00
CHIANTI-FIRENZE;025 Mercatale ;202110;2;1;1;50.00
CHIANTI-FIRENZE;025 Mercatale ;202111;3;1;2;33.33
CHIANTI-FIRENZE;025 Mercatale ;202112;3;0;3;0.00
CHIANTI-FIRENZE;025 Mercatale ;202201;0;3;-3;
CHIANTI-FIRENZE;025 Mercatale ;202202;3;0;3;0.00
CHIANTI-FIRENZE;025 Mercatale ;202203;2;0;2;0.00
CHIANTI-FIRENZE;025 Mercatale ;202204;3;2;1;66.67
CHIANTI-FIRENZE;025 Mercatale ;TOTALE;36;18;18;50.00
CHIANTI-FIRENZE;026 Firenze Sansovino;202101;10;2;8;20.00
CHIANTI-FIRENZE;026 Firenze Sansovino;202102;6;2;4;33.33
CHIANTI-FIRENZE;026 Firenze Sansovino;202103;7;3;4;42.86
CHIANTI-FIRENZE;026 Firenze Sansovino;202104;0;3;-3;
CHIANTI-FIRENZE;026 Firenze Sansovino;202105;17;1;16;5.88
CHIANTI-FIRENZE;026 Firenze Sansovino;202107;3;1;2;33.33
CHIANTI-FIRENZE;026 Firenze Sansovino;202108;6;2;4;33.33
CHIANTI-FIRENZE;026 Firenze Sansovino;202109;3;1;2;33.33
CHIANTI-FIRENZE;026 Firenze Sansovino;202110;8;0;8;0.00
CHIANTI-FIRENZE;026 Firenze Sansovino;202111;4;2;2;50.00
CHIANTI-FIRENZE;026 Firenze Sansovino;202112;2;1;1;50.00
CHIANTI-FIRENZE;026 Firenze Sansovino;202201;1;3;-2;300.00
CHIANTI-FIRENZE;026 Firenze Sansovino;202202;3;1;2;33.33
CHIANTI-FIRENZE;026 Firenze Sansovino;202203;6;4;2;66.67
CHIANTI-FIRENZE;026 Firenze Sansovino;202204;2;3;-1;150.00
CHIANTI-FIRENZE;026 Firenze Sansovino;TOTALE;78;29;49;37.18
CHIANTI-FIRENZE;030 Firenze Europa;202101;3;2;1;66.67
CHIANTI-FIRENZE;030 Firenze Europa;202102;1;6;-5;600.00
CHIANTI-FIRENZE;030 Firenze Europa;202103;0;4;-4;
CHIANTI-FIRENZE;030 Firenze Europa;202104;0;1;-1;
CHIANTI-FIRENZE;030 Firenze Europa;202105;11;2;9;18.18
CHIANTI-FIRENZE;030 Firenze Europa;202106;0;2;-2;
CHIANTI-FIRENZE;030 Firenze Europa;202107;4;2;2;50.00
CHIANTI-FIRENZE;030 Firenze Europa;202108;6;14;-8;233.33
CHIANTI-FIRENZE;030 Firenze Europa;202109;1;1;0;100.00
CHIANTI-FIRENZE;030 Firenze Europa;202110;3;1;2;33.33
CHIANTI-FIRENZE;030 Firenze Europa;202111;10;0;10;0.00
CHIANTI-FIRENZE;030 Firenze Europa;202112;6;3;3;50.00
CHIANTI-FIRENZE;030 Firenze Europa;202201;1;2;-1;200.00
CHIANTI-FIRENZE;030 Firenze Europa;202203;8;6;2;75.00
CHIANTI-FIRENZE;030 Firenze Europa;202204;17;4;13;23.53
CHIANTI-FIRENZE;030 Firenze Europa;TOTALE;71;50;21;70.42
CHIANTI-FIRENZE;032 Firenze Forlanini;202101;5;4;1;80.00
CHIANTI-FIRENZE;032 Firenze Forlanini;202102;3;1;2;33.33
CHIANTI-FIRENZE;032 Firenze Forlanini;202103;9;3;6;33.33
CHIANTI-FIRENZE;032 Firenze Forlanini;202104;0;1;-1;
